epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,2472.8,1.45513,1.14466,0.96425,0.83314,0.76733,0.87733,0.61098,1.15288,0.69273,0.91753,0.000776766,0.000776766,0.000776766
65,2510.94,1.45034,1.13516,0.96127,0.86514,0.72909,0.87632,0.60552,1.1417,0.65667,0.91474,0.000770234,0.000770234,0.000770234
66,2549.14,1.47896,1.14585,0.96544,0.84121,0.79348,0.89515,0.61837,1.14354,0.68665,0.91212,0.000763637,0.000763637,0.000763637
67,2587.24,1.44741,1.08515,0.96178,0.85658,0.76224,0.88437,0.61409,1.13726,0.65476,0.91506,0.000756976,0.000756976,0.000756976
68,2625.37,1.4563,1.11063,0.96197,0.72837,0.83241,0.89502,0.62358,1.1173,0.65461,0.90779,0.000750252,0.000750252,0.000750252
69,2663.3,1.45018,1.0661,0.95701,0.84204,0.79304,0.90031,0.62441,1.12638,0.6591,0.90945,0.000743468,0.000743468,0.000743468
70,2701.45,1.42765,1.07245,0.95841,0.85416,0.79213,0.88815,0.61158,1.12615,0.66032,0.91387,0.000736625,0.000736625,0.000736625
71,2739.47,1.45787,1.1011,0.96324,0.83908,0.80207,0.88762,0.60195,1.1786,0.6631,0.92425,0.000729725,0.000729725,0.000729725
72,2777.45,1.43067,1.04155,0.95688,0.77223,0.82433,0.89127,0.61777,1.1067,0.65908,0.90781,0.00072277,0.00072277,0.00072277
73,2816.46,1.44775,1.05814,0.95504,0.88318,0.7456,0.89626,0.62925,1.10705,0.62113,0.90754,0.000715761,0.000715761,0.000715761
74,2854.83,1.43254,1.04633,0.96201,0.76557,0.85497,0.89736,0.63518,1.11936,0.62697,0.90491,0.0007087,0.0007087,0.0007087
75,2892.98,1.41802,1.0586,0.9531,0.74061,0.84786,0.89489,0.63455,1.08784,0.61962,0.90218,0.000701588,0.000701588,0.000701588
76,2931.05,1.40125,1.02757,0.95706,0.84766,0.78963,0.90333,0.63922,1.08836,0.63066,0.9037,0.000694428,0.000694428,0.000694428
77,2969.01,1.42271,1.02568,0.95218,0.87434,0.77868,0.88493,0.61983,1.10315,0.61699,0.90484,0.000687222,0.000687222,0.000687222
78,3007,1.38898,1.03101,0.93722,0.82069,0.8175,0.90955,0.62723,1.11017,0.60563,0.90479,0.00067997,0.00067997,0.00067997
79,3045.15,1.3953,1.01249,0.95086,0.77978,0.86646,0.89764,0.63361,1.09763,0.59487,0.90597,0.000672675,0.000672675,0.000672675
80,3083.59,1.4123,1.03073,0.94685,0.77953,0.83519,0.88803,0.62728,1.08468,0.6188,0.90017,0.000665339,0.000665339,0.000665339
81,3121.8,1.3929,0.99474,0.94022,0.81108,0.85029,0.89564,0.63425,1.07785,0.58669,0.89982,0.000657963,0.000657963,0.000657963
82,3160.07,1.38202,1.04093,0.94718,0.7918,0.82772,0.89023,0.63775,1.05934,0.59949,0.89555,0.00065055,0.00065055,0.00065055
83,3198.37,1.38094,0.99417,0.94193,0.85898,0.80039,0.89684,0.62995,1.10612,0.60254,0.90237,0.000643101,0.000643101,0.000643101
84,3236.4,1.3877,1.0097,0.9443,0.83179,0.79881,0.89035,0.6416,1.05204,0.61798,0.89663,0.000635617,0.000635617,0.000635617
85,3274.37,1.38169,0.97866,0.94184,0.83359,0.8395,0.89915,0.63901,1.0784,0.58869,0.89788,0.000628101,0.000628101,0.000628101
86,3312.45,1.38912,0.98569,0.94416,0.88203,0.80915,0.9062,0.65046,1.07851,0.56681,0.89735,0.000620555,0.000620555,0.000620555
87,3350.49,1.38398,0.98872,0.94167,0.82503,0.86161,0.92366,0.6525,1.09116,0.57104,0.90193,0.000612981,0.000612981,0.000612981
88,3388.62,1.36573,0.97633,0.94216,0.84339,0.83154,0.90928,0.65729,1.05084,0.57347,0.89175,0.00060538,0.00060538,0.00060538
89,3426.72,1.38869,0.99916,0.94255,0.8507,0.84495,0.9081,0.65219,1.07687,0.56537,0.90032,0.000597754,0.000597754,0.000597754
90,3464.87,1.35624,0.93961,0.94028,0.8865,0.83538,0.91215,0.6576,1.04844,0.54673,0.89275,0.000590105,0.000590105,0.000590105
91,3502.86,1.38069,0.96518,0.94315,0.84165,0.81737,0.91532,0.66462,1.05604,0.55717,0.88949,0.000582435,0.000582435,0.000582435
92,3541.03,1.35396,0.93179,0.93606,0.89384,0.79353,0.9155,0.65455,1.06737,0.55231,0.89525,0.000574746,0.000574746,0.000574746
93,3578.98,1.37091,0.9416,0.93642,0.85712,0.82134,0.9091,0.64747,1.05326,0.56214,0.8928,0.00056704,0.00056704,0.00056704
94,3616.99,1.34585,0.94718,0.93502,0.89784,0.78424,0.91919,0.66358,1.05374,0.5379,0.89332,0.000559318,0.000559318,0.000559318
95,3655.3,1.34582,0.91473,0.9308,0.91997,0.76012,0.92291,0.65799,1.04879,0.54802,0.89272,0.000551584,0.000551584,0.000551584
96,3693.39,1.3467,0.914,0.93458,0.85141,0.81231,0.90843,0.65134,1.05254,0.57359,0.892,0.000543837,0.000543837,0.000543837
97,3731.48,1.34083,0.92127,0.93351,0.87919,0.78873,0.9057,0.65719,1.03216,0.569,0.88747,0.000536081,0.000536081,0.000536081
