epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2223.55,1.17767,0.92117,0.97477,0.84206,0.82431,0.90056,0.66279,0.91441,0.67687,0.90498,0.000736625,0.000736625,0.000736625
71,2255.13,1.14205,0.904,0.96757,0.84154,0.86183,0.90915,0.67312,0.92139,0.68115,0.90578,0.000729725,0.000729725,0.000729725
72,2286.64,1.17324,0.89843,0.98242,0.79101,0.85919,0.90403,0.64767,0.9545,0.69318,0.91675,0.00072277,0.00072277,0.00072277
73,2318.23,1.14223,0.89595,0.97331,0.77656,0.86623,0.8838,0.6566,0.90793,0.67911,0.90386,0.000715761,0.000715761,0.000715761
74,2349.87,1.14571,0.87729,0.97645,0.8626,0.81835,0.90211,0.65962,0.91222,0.66231,0.90386,0.0007087,0.0007087,0.0007087
75,2381.31,1.14296,0.88312,0.96627,0.81124,0.87234,0.91517,0.66783,0.91773,0.65812,0.91137,0.000701588,0.000701588,0.000701588
76,2412.87,1.13774,0.8712,0.96601,0.79848,0.86482,0.9076,0.66893,0.9127,0.65167,0.90561,0.000694428,0.000694428,0.000694428
77,2444.33,1.15476,0.89348,0.97574,0.84409,0.86197,0.92265,0.68723,0.88775,0.62385,0.89819,0.000687222,0.000687222,0.000687222
78,2475.87,1.15677,0.86734,0.96677,0.85874,0.84729,0.91306,0.67468,0.89721,0.651,0.90311,0.00067997,0.00067997,0.00067997
79,2507.27,1.15578,0.86226,0.96906,0.84592,0.84556,0.91839,0.68082,0.90136,0.63678,0.89882,0.000672675,0.000672675,0.000672675
80,2538.74,1.12363,0.83901,0.95836,0.87895,0.81795,0.9092,0.66896,0.91442,0.63891,0.90414,0.000665339,0.000665339,0.000665339
81,2570.4,1.12943,0.86147,0.95751,0.84713,0.84811,0.9208,0.68197,0.91352,0.63165,0.90606,0.000657963,0.000657963,0.000657963
82,2601.59,1.14901,0.86163,0.96726,0.8879,0.85597,0.92292,0.67001,0.92902,0.63482,0.90854,0.00065055,0.00065055,0.00065055
83,2632.99,1.12822,0.85721,0.96086,0.87544,0.84902,0.92726,0.68564,0.90298,0.62726,0.90097,0.000643101,0.000643101,0.000643101
84,2664.43,1.12961,0.84952,0.96025,0.86139,0.85158,0.91839,0.68613,0.88425,0.62087,0.90136,0.000635617,0.000635617,0.000635617
85,2695.73,1.11097,0.82698,0.95521,0.8508,0.86621,0.91656,0.67919,0.90187,0.63014,0.89957,0.000628101,0.000628101,0.000628101
86,2727.08,1.1252,0.84244,0.957,0.88083,0.86474,0.93176,0.69273,0.89613,0.61299,0.90083,0.000620555,0.000620555,0.000620555
87,2758.43,1.10639,0.83148,0.95783,0.8235,0.9013,0.92256,0.69038,0.88779,0.61393,0.89954,0.000612981,0.000612981,0.000612981
88,2790.04,1.11533,0.83444,0.9578,0.83535,0.90732,0.92959,0.6843,0.89417,0.60795,0.89702,0.00060538,0.00060538,0.00060538
89,2821.43,1.11602,0.82556,0.96738,0.86865,0.85116,0.92419,0.69972,0.87444,0.6117,0.8975,0.000597754,0.000597754,0.000597754
90,2852.93,1.11652,0.82988,0.95522,0.89224,0.86937,0.92879,0.69461,0.88283,0.60199,0.89729,0.000590105,0.000590105,0.000590105
91,2884.53,1.11183,0.83016,0.9533,0.85248,0.89594,0.93339,0.69394,0.8987,0.60911,0.89865,0.000582435,0.000582435,0.000582435
92,2915.89,1.10917,0.80088,0.9498,0.89088,0.87209,0.93348,0.6939,0.87193,0.59945,0.89411,0.000574746,0.000574746,0.000574746
93,2947.25,1.09165,0.8094,0.95072,0.8666,0.86176,0.91936,0.68447,0.89241,0.60916,0.90092,0.00056704,0.00056704,0.00056704
94,2978.62,1.08042,0.80062,0.94462,0.84417,0.89485,0.93309,0.69154,0.89824,0.6086,0.9001,0.000559318,0.000559318,0.000559318
95,3010.07,1.08977,0.78778,0.94988,0.87448,0.89863,0.93549,0.69447,0.88118,0.59734,0.89743,0.000551584,0.000551584,0.000551584
96,3041.45,1.07981,0.78828,0.95071,0.87893,0.88081,0.93408,0.69967,0.87284,0.5845,0.89468,0.000543837,0.000543837,0.000543837
97,3072.93,1.06944,0.78597,0.94653,0.90985,0.85858,0.93792,0.70382,0.88092,0.57455,0.89339,0.000536081,0.000536081,0.000536081
98,3104.34,1.06613,0.77524,0.94583,0.82129,0.92209,0.94125,0.70065,0.87515,0.59289,0.89436,0.000528318,0.000528318,0.000528318
99,3135.79,1.07449,0.78037,0.9427,0.87652,0.9025,0.94024,0.70682,0.85855,0.58347,0.89024,0.000520548,0.000520548,0.000520548
100,3167.14,1.08003,0.78139,0.94803,0.8803,0.88122,0.93834,0.70103,0.86925,0.5764,0.89382,0.000512775,0.000512775,0.000512775
101,3198.6,1.06269,0.76437,0.93531,0.8735,0.90565,0.94085,0.70614,0.86441,0.57508,0.89013,0.000505,0.000505,0.000505
